drug_a,drug_b,efek_interaksi,mekanisme_interaksi_farmakokinetik,mekanisme_interaksi_farmakodinamik,manajemen_interaksi
captopril,aluminum carbonate,Minor,"Penurunan absorpsi captopril akibat peningkatan pH lambung & keterlambatan pengosongan lambung ? ? Cmax ?50%, ? AUC ?42%.",Tidak ada,Beri jarak 1?2 jam antara konsumsi antasida & captopril. Tidak perlu modifikasi dosis bila efek antihipertensi tetap adekuat.
captopril,aluminum hydroxide,Minor,"Sama dengan aluminum carbonate: ? absorpsi captopril akibat peningkatan pH lambung ? ? bioavailabilitas relatif (0,66).",Tidak ada,"Beri jarak 1?2 jam konsumsi. Monitor efek antihipertensi; jika perlu, pertimbangkan alternatif antasida."
captopril,amifostine,Moderate,Tidak ada,"Efek hipotensi aditif. Amifostine sering menyebabkan hipotensi akut (5?15 menit pasca pemberian), ACE inhibitor memperkuat efek ini ? risiko sinkop, bradikardia, henti napas/kardiak pada kasus berat.",Hentikan antihipertensi ?24 jam sebelum amifostine jika memungkinkan. Monitor tekanan darah ketat selama & setelah terapi. Siapkan resusitasi cairan bila terjadi hipotensi.
captopril,amiloride,Major,ACE inhibitor menurunkan sekresi aldosteron ? ? ekskresi kalium. Amiloride sebagai diuretik hemat kalium ? risiko akumulasi K+.,"Efek aditif pada keseimbangan elektrolit ? hiperkalemia berat (lemah, aritmia, henti jantung). Risiko meningkat pada pasien usia lanjut, DM, gagal jantung, gangguan ginjal, atau konsumsi K+ tambahan.","Hindari kombinasi jika memungkinkan. Jika terpaksa, monitor ketat kalium & fungsi ginjal. Hindari suplementasi K+. Konsultasi gizi terkait diet rendah kalium."
captopril,amisulpride,Moderate,Tidak ada,Amisulpride memiliki aktivitas blokade alfa-1 adrenergik ? vasodilatasi. Dikombinasi ACE inhibitor ? risiko hipotensi ortostatik & sinkop meningkat.,"Gunakan dosis awal rendah amisulpride, titrasi perlahan. Monitor tekanan darah. Edukasi pasien untuk bangun perlahan dari duduk/tidur. Hindari aktivitas berisiko saat awal terapi."
captopril,amitriptyline,Moderate,Tidak ada,"Amitriptyline (TCA) memiliki aktivitas blokade alfa?1 adrenergik ? vasodilatasi. Kombinasi dengan ACE inhibitor meningkatkan risiko hipotensi ortostatik & sinkop, terutama awal terapi.","Gunakan dosis awal rendah TCA, titrasi perlahan. Monitor tekanan darah. Edukasi pasien untuk bangun perlahan. Hindari aktivitas berisiko (mengemudi/mesin) saat awal terapi."
captopril,amlodipine,Minor,Tidak ada,"Efek hipotensi aditif karena ACE inhibitor + antagonis kalsium. Umumnya aman, tetapi risiko hipotensi lebih besar pada awal terapi.",Monitor tekanan darah 1?3 minggu awal. Sesuaikan dosis bila terjadi hipotensi signifikan.
captopril,amobarbital,Moderate,Tidak ada,Amobarbital (barbiturat) menurunkan tonus vaskular ? hipotensi aditif dengan ACE inhibitor. Meningkatkan risiko ortostatik & sinkop.,Monitor tekanan darah. Anjurkan hindari alkohol. Edukasi pasien agar bangun perlahan dan laporkan pusing/sinkop.
captopril,amoxapine,Moderate,Tidak ada,Amoxapine (antidepresan trisiklik) memiliki aktivitas blokade alfa?1 adrenergik ? vasodilatasi. Efek aditif dengan ACE inhibitor meningkatkan risiko hipotensi ortostatik & sinkop.,"Gunakan dosis awal rendah, titrasi bertahap. Monitor tekanan darah. Edukasi pasien untuk bangun perlahan dan hindari aktivitas berisiko."
captopril,angiotensin ii,Moderate,Tidak ada,ACE inhibitor menghambat metabolisme angiotensin II ? meningkatkan respon farmakologis terhadap angiotensin II.,"Monitor respons terapi (tekanan darah, perfusi organ). Sesuaikan dosis angiotensin II sesuai efek klinis."
captopril,anistreplase,Moderate,Tidak ada,"Kombinasi ACE inhibitor dengan fibrinolitik dapat meningkatkan risiko angioedema/anaphylactoid. Mekanisme belum jelas, namun kasus dilaporkan pada penggunaan alteplase bersama ACE inhibitor.","Monitor pasien ketat terhadap tanda angioedema atau reaksi alergi (bengkak wajah, lidah, kesulitan bernapas). Siapkan fasilitas resusitasi."
captopril,apomorphine,Major,Tidak ada,"Apomorphine menimbulkan hipotensi ortostatik & sinkop. Efek ini dipotensiasi oleh ACE inhibitor ? risiko jatuh, sinkop, bahkan komplikasi kardiovaskular (mis. infark, aritmia).","Gunakan dengan hati-hati. Monitor tekanan darah ketat. Edukasi pasien mengenai gejala hipotensi. Hindari bangun mendadak, aktivitas berisiko, dan mengemudi."
captopril,apraclonidine (oftalmik),Moderate,Tidak ada,Apraclonidine (agonis alfa?2 adrenergik) terserap sistemik dan dapat menyebabkan hipotensi & bradikardia. Efek ini bertambah bila digabung dengan ACE inhibitor.,Monitor tekanan darah & nadi secara berkala. Edukasi pasien melaporkan gejala bradikardia atau sinkop. Hati-hati pada pasien dengan penyakit jantung.
captopril,aripiprazole,Moderate,Tidak ada,Aripiprazole dapat menurunkan tekanan darah melalui efek parsial pada reseptor dopamin & antagonisme alfa?1 adrenergik. Kombinasi dengan ACE inhibitor ? risiko hipotensi ortostatik meningkat.,"Mulai dengan dosis rendah aripiprazole, titrasi perlahan. Monitor tekanan darah. Edukasi pasien bangun perlahan dan laporkan pusing/sinkop."
captopril,asenapine,Moderate,Tidak ada,Asenapine memiliki afinitas tinggi terhadap reseptor alfa?1 adrenergik ? vasodilatasi. Efek hipotensi aditif dengan ACE inhibitor ? risiko sinkop dan ortostatik.,"Gunakan dosis awal kecil, titrasi perlahan. Monitor tekanan darah, terutama pada awal terapi. Edukasi pasien tentang risiko ortostatik & hindari aktivitas berisiko."
captopril,ashwagandha,Moderate,Tidak ada,Potensi hepatotoksisitas aditif. Ashwagandha dikaitkan dengan kerusakan hati pada beberapa laporan kasus. Kombinasi dengan ACE inhibitor dapat meningkatkan risiko.,"Lakukan pemantauan fungsi hati secara berkala. Edukasi pasien agar melaporkan gejala seperti nyeri perut kanan atas, ikterus, urin gelap, kelelahan."
captopril,asparaginase (erwinia chrysanthemi),Moderate,Potensi gangguan metabolisme obat hepatik & interaksi pada ikatan protein plasma,"Efek hepatotoksik aditif. Asparaginase dan ACE inhibitor keduanya dapat merusak hati, terutama pada pasien obesitas atau dewasa.",Monitor fungsi hati secara berkala. Hindari kombinasi jika risiko tinggi. Edukasi pasien tentang tanda-tanda hepatotoksisitas.
captopril,asparaginase (e. coli),Moderate,Potensi gangguan metabolisme hepatik dan kompetisi ikatan protein plasma,Efek hepatotoksik aditif serupa dengan strain Erwinia. Laporan kasus mencatat hepatomegali dan gagal hati akut.,Pemantauan rutin fungsi hati. Evaluasi manfaat-risiko terutama pada pasien dengan riwayat penyakit hati atau gangguan metabolisme.
captopril,aspirin,Moderate,Tidak ada,Aspirin dapat menghambat sintesis prostaglandin yang berperan dalam efek vasodilatasi ACE inhibitor ? potensi antagonisme efek antihipertensi.,Gunakan dosis aspirin serendah mungkin (<100 mg/hari). Monitor tekanan darah dan fungsi ginjal secara berkala. Kombinasi masih diperbolehkan bila manfaat kardioprotektif diutamakan.
captopril,aurothioglucose (emas suntik),Moderate,Tidak ada,"Potensiasi reaksi nitritoid (flushing, hipotensi) akibat efek vasomotor. ACE inhibitor meningkatkan kadar bradikinin, yang mungkin memicu reaksi hipersensitivitas.","Pantau pasien setelah injeksi emas, terutama lansia. Siapkan penanganan darurat (O?, cairan IV, epinefrin). Waspadai reaksi seperti flushing, mual, atau kolaps."
captopril,avanafil,Moderate,Tidak ada,PDE5 inhibitor (avanafil) meningkatkan kadar cGMP ? vasodilatasi perifer. Efek hipotensi aditif bila dikombinasikan dengan ACE inhibitor.,"Gunakan dengan hati-hati. Monitor tekanan darah terutama pada awal terapi atau saat titrasi dosis. Edukasi pasien hindari bangun mendadak dan waspadai gejala hipotensi (pusing, sinkop)."
captopril,azathioprine,Moderate,Tidak ada,Efek hematologis aditif: ACE inhibitor + azathioprine dapat menurunkan jumlah leukosit ? risiko neutropenia atau leukopenia.,"Lakukan pemantauan darah lengkap secara berkala. Edukasi pasien untuk segera melapor bila ada demam, sariawan, memar, atau tanda infeksi."
captopril,azilsartan,Major,Tidak ada,"Efek aditif pada sistem renin?angiotensin ? risiko hiperkalemia, hipotensi berat, dan gagal ginjal akut, terutama pada pasien DM atau gangguan ginjal.","Hindari kombinasi (kontraindikasi relatif). Jika terpaksa, monitor ketat tekanan darah, kalium, dan fungsi ginjal. Hindari suplementasi kalium."
captopril,baclofen,Moderate,Tidak ada,Baclofen memiliki efek depresan SSP dan menurunkan tonus vaskular ? efek hipotensi aditif dengan ACE inhibitor.,"Monitor tekanan darah. Edukasi pasien agar bangun perlahan, hindari alkohol, dan jangan mengemudi sampai mengetahui respon obat."
captopril,bedaquiline,Moderate,Bedaquiline dimetabolisme hepatik (CYP3A4). ACE inhibitor berpotensi meningkatkan risiko hepatotoksisitas bila diberikan bersama agen hepatotoksik lain.,Potensi hepatotoksisitas aditif. Laporan menunjukkan peningkatan ALT/AST ?3x ULN lebih sering pada bedaquiline dibandingkan plasebo.,"Hindari kombinasi bila memungkinkan. Jika digunakan, monitor fungsi hati (ALT, AST, bilirubin) tiap bulan. Hentikan bila ada peningkatan signifikan atau gejala hepatotoksisitas."
captopril,bendroflumethiazide,Moderate,Tidak ada,"Efek aditif hipotensi & hipovolemia. ACE inhibitor + diuretik meningkatkan risiko hipotensi akut, terutama pada pasien dengan deplesi natrium atau diet rendah garam.","Monitor tekanan darah, diuresis, elektrolit, dan fungsi ginjal. Mulai ACE inhibitor dosis rendah. Pertimbangkan hentikan sementara diuretik atau tambah asupan garam sebelum memulai captopril."
captopril,benzthiazide,Moderate,Tidak ada,Mekanisme serupa bendroflumethiazide: hipotensi & risiko gagal ginjal meningkat akibat kombinasi diuretik + ACE inhibitor.,Sama dengan bendroflumethiazide: monitoring ketat tekanan darah & fungsi ginjal; dosis awal ACE inhibitor rendah.
captopril,berotralstat,Moderate,"Berotralstat dimetabolisme via P-gp & BCRP. ACE inhibitor tidak langsung memengaruhi, namun kombinasi dengan inhibitor P-gp/BCRP (termasuk beberapa ACE inhibitor) dapat meningkatkan kadar berotralstat.",Konsentrasi berotralstat ? ? risiko perpanjangan QTc. Efek ini bersifat dosis?tergantung.,"Tidak perlu penyesuaian dosis rutin, tetapi monitor gejala QTc (pusing, sinkop, palpitasi). Edukasi pasien lapor bila muncul gejala aritmia."
captopril,betamethasone,Moderate,Tidak ada,Kortikosteroid meningkatkan retensi natrium & cairan ? mengurangi efek antihipertensi ACE inhibitor. Risiko edema dan gagal jantung meningkat.,"Monitor tekanan darah, berat badan, elektrolit. Pertimbangkan penyesuaian dosis antihipertensi. Hindari terapi kortikosteroid jangka panjang bila tidak perlu."
captopril,betrixaban,Moderate,Betrixaban adalah substrat P-gp. P-gp inhibitor (misal verapamil) dapat meningkatkan Cmax 5x & AUC 3x ? risiko perdarahan meningkat.,Tidak ada langsung; efek klinis utama berupa peningkatan risiko perdarahan karena kadar betrixaban tinggi.,Hindari kombinasi dengan P-gp inhibitor pada pasien dengan gangguan ginjal berat (CrCl <30 mL/menit). Monitor tanda perdarahan & nilai Hb/Ht secara berkala.
captopril,bexagliflozin,Moderate,Tidak ada,"Efek aditif pada penurunan tekanan darah melalui diuresis dan natriuresis oleh SGLT-2 inhibitor menyebabkan deplesi volume ? meningkatkan risiko hipotensi, pusing, dan sinkop.","Periksa dan koreksi status volume sebelum terapi. Monitor tekanan darah, fungsi ginjal, elektrolit. Hentikan sementara jika terjadi dehidrasi berat atau hipotensi."
captopril,binimetinib,Moderate,"Binimetinib dimetabolisme oleh P-gp, UGT1A1, UGT2B7, dan BCRP. Inhibitor jalur ini (termasuk beberapa ACE inhibitor) dapat meningkatkan kadar binimetinib.",Tidak ada,Monitor ketat efek binimetinib jika digunakan bersama inhibitor metaboliknya. Penyesuaian dosis bila perlu.
captopril,black cohosh,Moderate,Tidak ada,Efek hepatotoksik aditif ? meningkatkan risiko kerusakan hati. Black cohosh dilaporkan menyebabkan hepatitis hingga gagal hati.,"Hindari kombinasi dengan obat hepatotoksik lain (termasuk ACE inhibitor). Edukasi pasien untuk melapor jika muncul gejala hepatitis (mual, nyeri perut kanan atas, urin gelap, ikterik)."
captopril,brentuximab vedotin,Moderate,Tidak ada,"Efek hepatotoksik aditif ? Brentuximab dapat menyebabkan peningkatan transaminase dan bilirubin, bahkan gagal hati.",Pantau fungsi hati sebelum dan selama terapi. Hentikan atau ubah dosis bila terjadi hepatotoksisitas. Edukasi pasien terkait gejala gangguan hati.
captopril,brexpiprazole,Moderate,Tidak ada,Efek aditif hipotensi karena aktivitas antagonis ?1?adrenergik pada brexpiprazole meningkatkan risiko hipotensi ortostatik.,"Mulai brexpiprazole dengan dosis rendah dan titrasi perlahan, terutama pada lansia. Edukasi pasien hindari berdiri tiba-tiba, dan laporkan gejala hipotensi."
captopril,brimonidine (oftalmik),Moderate,Tidak ada,Brimonidine (agonis ?2) terserap sistemik ? menurunkan denyut jantung & tekanan darah; efek aditif dengan ACE inhibitor ? risiko bradikardia & hipotensi.,"Monitor tekanan darah & nadi. Edukasi pasien untuk melapor bila ada pusing, sinkop, bradikardia."
captopril,brimonidine (topikal),Moderate,Tidak ada,Mekanisme sama seperti formulasi oftalmik: efek ?2 agonis sistemik ? hipotensi & bradikardia.,Monitor tekanan darah & denyut nadi. Edukasi pasien mengenai gejala hipotensi & sinkop.
captopril,bromfenac (nsaid),Moderate,NSAID menghambat prostaglandin ginjal ? menurunkan efek antihipertensi captopril & menurunkan GFR. Potensi alterasi PK ACE inhibitor (AUC enalapril ? oleh oxaprozin).,Retensi cairan & antagonisme efek antihipertensi ? risiko hipertensi dan gagal ginjal.,"Monitor tekanan darah & fungsi ginjal (ureum, kreatinin) selama penggunaan NSAID jangka panjang. Hindari bila ada gangguan ginjal berat."
captopril,budesonide,Moderate,Budesonide dimetabolisme via CYP3A4; interaksi tidak langsung dengan ACE inhibitor.,Kortikosteroid meningkatkan retensi natrium & cairan ? mengurangi efek antihipertensi ACE inhibitor; risiko edema & gagal jantung.,"Monitor tekanan darah, berat badan, elektrolit. Penyesuaian dosis antihipertensi bila perlu. Hindari dosis tinggi kortikosteroid jangka panjang."
captopril,bumetanide (loop diuretik),Moderate,Tidak ada,Efek aditif hipotensi & hipovolemia. Risiko gagal ginjal bila deplesi natrium. ACE inhibitor dapat menambah risiko insufisiensi ginjal akut.,"Monitor tekanan darah, elektrolit, fungsi ginjal. Pertimbangkan dosis awal ACE inhibitor rendah. Hentikan sementara diuretik atau koreksi natrium sebelum memulai terapi."
captopril,buprenorphine,Moderate,Tidak ada,Opioid agonis parsial dengan efek depresan SSP & vasodilatasi ? hipotensi ortostatik aditif dengan ACE inhibitor.,"Monitor tekanan darah & denyut jantung, terutama awal terapi. Edukasi pasien hindari berdiri mendadak dan aktivitas berisiko. Hindari alkohol."
captopril,bupropion,Moderate,Tidak ada,Antidepresan dengan potensi menurunkan tekanan darah pada sebagian pasien; efek aditif dengan ACE inhibitor.,"Awasi gejala hipotensi (pusing, sinkop). Monitor tekanan darah saat inisiasi & titrasi dosis."
captopril,buspirone,Moderate,Tidak ada,Anxiolytic dengan aktivitas pada reseptor serotonin dan dopamin; dapat menimbulkan hipotensi aditif bila dikombinasikan dengan ACE inhibitor.,Monitor tekanan darah & gejala orthostasis. Edukasi pasien hindari alkohol dan bangun mendadak.
captopril,butabarbital,Moderate,Tidak ada,Barbiturat dengan efek depresan SSP & vasodilatasi; meningkatkan risiko hipotensi ortostatik bersama ACE inhibitor.,Hindari aktivitas berbahaya setelah minum obat. Monitor tekanan darah. Pertimbangkan dosis awal ACE inhibitor rendah.
captopril,butorphanol,Moderate,Tidak ada,Opioid agonis parsial dengan efek analgesik dan depresan SSP; meningkatkan risiko hipotensi & sinkop bila diberikan bersama ACE inhibitor.,"Monitor ketat tekanan darah. Edukasi pasien mengenai risiko sinkop, hindari alkohol. Sesuaikan dosis bila perlu."
captopril,cabergoline,Moderate,Tidak ada,Efek aditif hipotensi ortostatik karena gabungan ACE inhibitor (vasodilatasi) dan agonis dopamin (cabergoline).,"Monitor tekanan darah, terutama saat inisiasi/eskalasi dosis. Edukasi pasien hindari alkohol dan berdiri mendadak."
captopril,calaspargase pegol,Moderate,Penurunan metabolisme hepatik karena peningkatan risiko hepatotoksisitas.,Tidak ada,"Monitor fungsi hati secara berkala (AST, ALT, bilirubin). Edukasi pasien untuk melapor bila ada gejala hepatotoksisitas (jaundice, mual, kelelahan)."
captopril,calcium carbonate,Minor,Penurunan absorpsi captopril akibat peningkatan pH lambung ? bioavailabilitas berkurang ?40?50%.,Tidak ada,Pisahkan pemberian 1?2 jam. Monitor tekanan darah untuk pastikan efek antihipertensi tetap tercapai.
captopril,canagliflozin,Moderate,Tidak ada,Efek aditif hipotensi & dehidrasi karena SGLT-2 inhibitor ? natriuresis & volume depletion.,"Pastikan status cairan cukup sebelum terapi. Monitor tekanan darah, elektrolit, dan fungsi ginjal. Hentikan sementara jika terjadi dehidrasi berat."
captopril,candesartan,Major,Tidak ada,"Efek aditif/sinergis pada sistem renin-angiotensin ? risiko hiperkalemia, hipotensi berat, gagal ginjal akut.","Hindari kombinasi jika memungkinkan. Bila terpaksa, monitor ketat elektrolit, fungsi ginjal, dan tekanan darah. Hindari suplementasi kalium kecuali terpantau ketat."
captopril,cannabidiol,Moderate,Peningkatan kadar transaminase (ALT/AST) melalui efek hepatotoksik; tidak terkait ADME captopril langsung.,Tidak ada,"Monitor fungsi hati (ALT, AST, bilirubin) sebelum & selama terapi. Hentikan bila ALT >3x ULN + bilirubin >2x ULN. Hati-hati bila bersamaan dengan valproat/obat hepatotoksik lain."
captopril,cannabis (schedule i),Moderate,Tidak ada,Efek aditif hipotensi ortostatik karena gabungan ACE inhibitor & efek depresan SSP cannabis.,Edukasi pasien hindari bangun mendadak & alkohol. Monitor tekanan darah & tanda hipotensi. Hindari aktivitas berisiko (menyetir/operasi mesin) pada awal terapi.
captopril,capsaicin topikal,Minor,Tidak ada,Peningkatan risiko batuk melalui stimulasi refleks batuk; aditif dengan efek batuk ACE inhibitor.,"Bila batuk mengganggu, evaluasi alternatif terapi. Edukasi pasien untuk melapor bila gejala persisten."
captopril,cariprazine,Moderate,Tidak ada,Potensiasi hipotensi ortostatik melalui blokade reseptor alfa-1 adrenergik dari antipsikotik.,"Monitor tekanan darah, mulai dengan dosis rendah cariprazine. Edukasi pasien hindari bangun mendadak. Pertimbangkan antipsikotik lain dengan afinitas alfa-1 lebih rendah bila perlu."
captopril,carisoprodol,Moderate,Tidak ada,Efek aditif hipotensi dan sedasi dari kombinasi ACE inhibitor & relaksan otot sentral.,"Monitor ketat tekanan darah & status kesadaran. Hindari alkohol. Edukasi pasien untuk waspada gejala pusing, sinkop, atau takikardia."
captopril,celecoxib,Moderate,"NSAID dapat menurunkan AUC beberapa ACE inhibitor (misalnya enalapril), meskipun tidak pasti pada captopril.",Inhibisi sintesis prostaglandin ? menurunkan efek vasodilatasi ACE inhibitor; retensi cairan ? peningkatan tekanan darah.,Monitor tekanan darah & fungsi ginjal secara berkala. Gunakan NSAID dosis efektif terendah. Pertimbangkan alternatif analgesik bila memungkinkan.
captopril,chloral hydrate,Moderate,Tidak ada,Efek aditif hipotensi & ortostatik akibat depresan SSP dan vasodilatasi.,Monitor tekanan darah. Edukasi pasien hindari bangun mendadak & hindari alkohol. Pantau gejala pusing/sinkop.
captopril,chlordiazepoxide,Moderate,Tidak ada,Potensiasi hipotensi ortostatik melalui efek depresan SSP benzodiazepin dan ACE inhibitor.,Gunakan dosis rendah. Monitor tekanan darah & gejala sedasi. Edukasi pasien hindari aktivitas berisiko.
captopril,chlorothiazide,Moderate,Diuretik meningkatkan risiko hipovolemia sehingga meningkatkan penurunan tekanan darah pada dosis awal ACE inhibitor.,Efek aditif hipotensi; risiko gagal ginjal bila ada deplesi natrium/stenosis arteri renalis.,"Monitor tekanan darah, diuresis, elektrolit, dan fungsi ginjal. Pertimbangkan hentikan sementara diuretik sebelum inisiasi ACE inhibitor."
captopril,chlorphenesin,Moderate,Tidak ada,Efek aditif hipotensi dan ortostatik melalui kombinasi relaksan otot SSP dan ACE inhibitor.,"Monitor tekanan darah, hindari alkohol, dan edukasi pasien tentang risiko pusing/sinkop. Pertimbangkan alternatif relaksan otot bila perlu."
captopril,chlorpromazine,Moderate,Tidak ada,Potensiasi hipotensi ortostatik melalui antagonisme reseptor alfa-1 adrenergik fenotiazin ditambah efek vasodilatasi ACE inhibitor.,"Monitor tekanan darah. Gunakan dosis awal rendah, titrasi perlahan terutama pada lansia. Edukasi pasien hindari bangun mendadak & aktivitas berisiko."
captopril,chlorpropamide,Moderate,Tidak ada,ACE inhibitor meningkatkan sensitivitas insulin ? meningkatkan risiko hipoglikemia dari sulfonilurea.,Monitor glukosa darah secara ketat. Sesuaikan dosis sulfonilurea bila perlu. Edukasi pasien tanda hipoglikemia & cara penanganannya.
captopril,chlorthalidone,Moderate,Diuretik meningkatkan risiko hipovolemia ? menambah efek hipotensi ACE inhibitor.,Efek aditif hipotensi dan risiko gagal ginjal pada pasien dengan deplesi natrium/stenosis arteri renalis.,"Monitor tekanan darah, elektrolit, diuresis, dan fungsi ginjal. Pertimbangkan hentikan sementara diuretik atau tambah asupan garam sebelum inisiasi ACE inhibitor."
captopril,chlorzoxazone,Moderate,Tidak ada,Relaksan otot menambah efek hipotensi dan ortostatik melalui depresi SSP dan vasodilatasi ACE inhibitor.,Monitor tekanan darah. Edukasi pasien hindari alkohol & bangun mendadak. Pertimbangkan alternatif bila risiko tinggi.
captopril,choline salicylate,Moderate,NSAID dapat menurunkan AUC beberapa ACE inhibitor (misalnya enalapril) ? menurunkan efek antihipertensi.,Inhibisi prostaglandin renal ? antagonisme efek vasodilatasi ACE inhibitor; risiko retensi cairan dan hipertensi.,"Monitor tekanan darah & fungsi ginjal secara berkala. Gunakan dosis efektif terendah, evaluasi alternatif analgesik bila penggunaan jangka panjang."
captopril,clobazam,Moderate,Tidak ada,Efek hipotensi aditif karena depresi SSP dan potensi vasodilatasi ACE inhibitor.,"Monitor tekanan darah. Edukasi pasien hindari alkohol & bangun mendadak. Perhatikan gejala hipotensi (pusing, sinkop)."
captopril,clofarabine,Moderate,Potensi hepatotoksisitas meningkat akibat kombinasi agen hepatotoksik. Tidak ada perubahan signifikan ADME captopril.,Tidak ada,"Hindari kombinasi bila memungkinkan. Monitor fungsi hati (ALT, AST, bilirubin). Hentikan bila terjadi peningkatan grade 3?4. Edukasi pasien tanda hepatotoksisitas (jaundice, nyeri perut kanan atas)."
captopril,clomipramine,Moderate,Tidak ada,Potensiasi hipotensi ortostatik melalui antagonisme reseptor alfa-1 adrenergik ditambah efek ACE inhibitor.,"Awali dengan dosis rendah, titrasi perlahan. Monitor tekanan darah & gejala ortostatik. Edukasi pasien hindari bangun mendadak."
captopril,clonazepam,Moderate,Tidak ada,Efek hipotensi aditif akibat depresi SSP dan vasodilatasi ACE inhibitor.,Monitor tekanan darah & ortostasis. Hindari konsumsi alkohol. Edukasi pasien terkait risiko pusing/sinkop.
captopril,clorazepate,Moderate,Tidak ada,Efek aditif pada penurunan tekanan darah melalui depresi SSP & vasodilatasi ACE inhibitor.,Monitor tekanan darah. Edukasi pasien hindari mengemudi/operasi mesin berat hingga respon diketahui.
